,Name,DropChance,Price,ValueProposition,Volume,Faction
74,Primary_Plated_Round,8.33,171.8,14.310940000000002,0.2708333333333333,Necralisk
75,Secondary_Encumber,8.33,53.0,4.4149,3.6041666666666665,Necralisk
76,Secondary_Kinship,8.33,240.0,19.992,0.125,Necralisk
77,Residual_Boils,8.33,27.6,2.29908,0.0,Necralisk
78,Residual_Malodor,8.33,17.0,1.4161000000000001,0.0,Necralisk
79,Residual_Shock,8.33,95.8,7.98014,0.0,Necralisk
80,Residual_Viremia,8.33,38.0,3.1654,0.0,Necralisk
81,Magus_Husk,2.5,64.8,1.62,0.041666666666666664,Ostron
82,Magus_Vigor,2.5,26.6,0.665,0.16666666666666666,Ostron
83,Virtuos_Null,2.5,23.8,0.5950000000000001,0.0,Ostron
84,Virtuos_Tempo,2.5,84.8,2.12,0.0,Ostron
85,Exodia_Triumph,4.286,108.0,4.62888,0.0,Ostron
86,Exodia_Valor,4.286,113.8,4.8774679999999995,0.0,Ostron
87,Magus_Cadence,4.286,136.0,5.8289599999999995,0.020833333333333332,Ostron
88,Magus_Cloud,4.286,54.6,2.340156,0.5833333333333334,Ostron
89,Magus_Replenish,4.286,93.0,3.9859799999999996,0.020833333333333332,Ostron
90,Virtuos_Fury,4.286,36.6,1.5686759999999997,0.0,Ostron
91,Virtuos_Strike,4.286,29.8,1.2772279999999998,0.0,Ostron
92,Exodia_Brave,7.5,91.6,6.869999999999999,0.0,Ostron
93,Exodia_Force,7.5,84.8,6.359999999999999,0.0,Ostron
94,Exodia_Hunt,7.5,86.8,6.51,0.0,Ostron
95,Exodia_Might,7.5,135.8,10.185,0.0,Ostron
96,Magus_Elevate,7.5,54.4,4.08,0.4166666666666667,Ostron
97,Magus_Nourish,7.5,57.6,4.32,0.08333333333333333,Ostron
98,Virtuos_Ghost,7.5,76.0,5.7,0.0,Ostron
99,Virtuos_Shadow,7.5,28.6,2.1450000000000005,0.0,Ostron
100,Magus_Accelerant,2.5,177.4,4.4350000000000005,0.041666666666666664,Solaris
101,Magus_Anomaly,2.5,119.8,2.995,0.5625,Solaris
102,Magus_Drive,2.5,251.75,6.29375,0.020833333333333332,Solaris
103,Magus_Firewall,2.5,187.0,4.675000000000001,0.0,Solaris
104,Magus_Overload,2.5,277.6,6.94,0.041666666666666664,Solaris
105,Virtuos_Spike,2.5,100.8,2.52,0.0,Solaris
106,Virtuos_Surge,2.5,51.8,1.295,0.0,Solaris
107,Magus_Glitch,3.75,222.25,8.334375000000001,0.041666666666666664,Solaris
108,Magus_Repair,3.75,93.0,3.4875000000000003,0.375,Solaris
109,Virtuos_Forge,3.75,102.0,3.825,0.0,Solaris
110,Virtuos_Trojan,3.75,138.0,5.175,0.0,Solaris
111,Pax_Bolt,8.75,44.8,3.9199999999999995,0.0,Solaris
112,Pax_Charge,8.75,50.0,4.375,0.0,Solaris
113,Pax_Seeker,8.75,66.8,5.845,0.0,Solaris
114,Pax_Soar,8.75,91.8,8.032499999999999,0.0,Solaris
115,Magus_Destruct,8.75,240.0,21.0,0.0625,Solaris
116,Magus_Lockdown,8.75,77.4,6.7725,1.125,Solaris
117,Magus_Melt,8.75,89.2,7.805,0.625,Solaris
118,Magus_Revert,8.75,207.5,18.15625,0.0625,Solaris
119,Arcane_Blade_Charger,9.091,50.8,4.618227999999999,0.16666666666666666,Steel Path
120,Arcane_Bodyguard,9.091,74.8,6.800068,0.0,Steel Path
121,Arcane_Pistoleer,9.091,69.2,6.290972,2.7291666666666665,Steel Path
122,Arcane_Primary_Charger,9.091,33.6,3.054576,0.0625,Steel Path
123,Arcane_Tanker,9.091,66.8,6.072787999999999,0.22916666666666666,Steel Path
124,Primary_Deadhead,9.091,11.8,1.072738,3.0208333333333335,Steel Path
125,Primary_Dexterity,9.091,9.0,0.8181899999999999,2.1875,Steel Path
126,Primary_Merciless,9.091,15.0,1.3636499999999998,4.479166666666667,Steel Path
127,Secondary_Deadhead,9.091,9.6,0.872736,2.1458333333333335,Steel Path
128,Secondary_Dexterity,9.091,9.6,0.872736,2.0,Steel Path
129,Secondary_Merciless,9.091,9.8,0.890918,2.3333333333333335,Steel Path
130,Arcane_Bellicose,11.875,27.8,3.3012500000000005,3.7708333333333335,Hollvania
131,Arcane_Camisado,11.875,33.8,4.01375,3.0625,Hollvania
132,Arcane_Crepuscular,11.875,34.4,4.085,5.895833333333333,Hollvania
133,Arcane_Impetus,11.875,37.4,4.44125,2.1666666666666665,Hollvania
134,Arcane_Truculence,11.875,19.6,2.3275,1.3541666666666667,Hollvania
135,Primary_Crux,11.875,28.4,3.3724999999999996,2.4583333333333335,Hollvania
136,Secondary_Enervate,11.875,33.8,4.01375,10.083333333333334,Hollvania
137,Melee_Doughty,11.875,16.0,1.9000000000000001,0.3541666666666667,Hollvania
138,Arcane_Escapist,1.67,76.6,1.2792199999999998,0.16666666666666666,Hollvania
139,Arcane_Hot_Shot,1.67,489.8,8.179659999999998,1.8958333333333333,Hollvania
140,Arcane_Universal_Fallout,1.67,643.4,10.74478,2.75,Hollvania
